pass,variant,profile,logN,setup_ms,median_expand_ms,min_expand_ms,max_expand_ms,expand_bytes,result
1,before,waterfall4,20,909.6475,49.2547,47.4215,53.4879,4800,checked
1,after,waterfall4,20,962.2073,49.4317,47.7865,65.4876,4800,checked
1,after,waterfall4,20,745.7127,50.3231,48.3812,52.3326,4800,checked
1,before,waterfall4,20,740.2648,50.3347,47.8680,53.8263,4800,checked
1,before,waterfall3,20,541.7005,39.8385,38.8727,43.4052,12992,checked
1,after,waterfall3,20,653.7287,40.8359,39.5544,48.0638,12992,checked
1,after,waterfall3,20,559.9322,44.6682,42.0966,58.5709,12992,checked
1,before,waterfall3,20,553.3603,40.4355,39.2276,44.7276,12992,checked
1,before,rev3,20,2254.1087,29.9780,28.5354,32.0593,4656,checked
1,after,rev3,20,2235.0873,30.9843,28.6118,33.6327,4656,checked
1,after,rev3,20,2279.8393,32.1881,29.8215,35.0136,4656,checked
1,before,rev3,20,2181.9448,30.0291,28.8315,31.5981,4656,checked
2,before,waterfall4,20,886.8890,47.2273,44.8512,50.3600,4800,checked
2,after,waterfall4,20,704.8075,46.6043,45.1553,50.9524,4800,checked
2,after,waterfall4,20,702.4173,46.6960,44.2689,49.2170,4800,checked
2,before,waterfall4,20,803.7827,47.6555,45.9064,48.9219,4800,checked
2,before,waterfall3,20,507.4742,36.7002,34.6214,38.5805,12992,checked
2,after,waterfall3,20,503.4482,38.2841,36.7060,41.4916,12992,checked
2,after,waterfall3,20,511.7353,37.7276,36.8633,40.2770,12992,checked
2,before,waterfall3,20,521.4677,37.0833,36.0063,39.3557,12992,checked
2,before,rev3,20,2083.0415,26.9458,26.0726,30.5531,4656,checked
2,after,rev3,20,2026.2044,28.3542,27.5009,30.5950,4656,checked
2,after,rev3,20,2037.1995,28.3794,27.3255,31.9399,4656,checked
2,before,rev3,20,2054.6834,27.2786,26.1470,29.2201,4656,checked
