variant,profile,logN,setup_ms,median_expand_ms,min_expand_ms,max_expand_ms,expand_bytes,result
before_warmup,rev3,20,1916.1419,26.0949,25.1737,33.9678,4656,checked
after_warmup,rev3,20,1826.8997,26.4116,25.3640,27.9421,4656,checked
before,rev3,20,1838.7026,26.2716,25.4188,27.8395,4656,checked
after,rev3,20,1907.5343,25.9707,25.2884,28.3174,4656,checked
after,rev3,20,1865.8117,25.7427,25.1841,27.2203,4656,checked
before,rev3,20,1841.6891,26.4156,24.9560,29.5750,4656,checked
after,rev3,20,1824.4381,26.3902,25.5864,27.5149,4656,checked
before,rev3,20,1807.0954,26.3915,25.4413,30.4139,4656,checked
before,rev3,20,1871.5150,27.5959,25.5501,30.2652,4656,checked
after,rev3,20,1922.0132,26.2823,24.9536,28.0403,4656,checked
before_warmup,waterfall3,20,576.4190,35.4411,34.3658,41.5121,12992,checked
after_warmup,waterfall3,20,478.8635,34.6118,33.2302,39.2242,12992,checked
before,waterfall3,20,502.6486,36.2914,34.0470,38.8296,12992,checked
after,waterfall3,20,486.6084,35.6371,34.3876,39.3312,12992,checked
after,waterfall3,20,504.8457,36.0509,33.1833,40.4555,12992,checked
before,waterfall3,20,495.4049,37.0697,34.5271,39.8646,12992,checked
after,waterfall3,20,484.4779,35.1256,33.5110,38.7857,12992,checked
before,waterfall3,20,524.3852,35.1940,34.2693,50.3955,12992,checked
before,waterfall3,20,481.7605,35.1095,33.9201,39.5425,12992,checked
after,waterfall3,20,472.5297,34.8097,33.8350,38.5073,12992,checked
before_warmup,waterfall4,20,824.5779,44.4260,42.5665,47.1618,4800,checked
after_warmup,waterfall4,20,671.0124,44.6292,42.9275,48.7546,4800,checked
before,waterfall4,20,860.0647,45.7521,44.0144,47.2311,4800,checked
after,waterfall4,20,759.7955,45.3689,43.7018,56.9951,4800,checked
after,waterfall4,20,684.2922,46.2243,44.1006,55.6436,4800,checked
before,waterfall4,20,727.3779,47.1244,44.1783,52.8730,4800,checked
after,waterfall4,20,693.1380,44.9481,42.2025,48.1798,4800,checked
before,waterfall4,20,890.0679,51.9061,49.9141,56.0044,4800,checked
before,waterfall4,20,856.7283,49.2218,47.0306,53.6510,4800,checked
after,waterfall4,20,816.7254,47.8949,45.3935,55.3983,4800,checked
