kind,profile,trial,mode,setup_ms,total_ms,leaf_ms,update_ms,other_ms,result
stages,rev3,0,rekey,1990.9677,28.3634,10.7850,17.3486,0.1739,checked
stages,rev3,1,fixed,2044.2589,28.9922,10.6906,18.2268,0.1773,checked
stages,rev3,2,rekey,1976.4845,28.0048,10.3314,17.2686,0.1767,checked
stages,rev3,3,fixed,2019.8318,28.8436,10.7621,17.5566,0.1759,checked
stages,rev3,4,fixed,1884.6523,27.6497,10.2795,16.8848,0.1618,checked
stages,rev3,5,rekey,1861.4854,27.3836,10.1995,16.9136,0.1718,checked
stages,rev3,6,fixed,1957.7982,27.9227,10.3331,17.2431,0.1758,checked
stages,rev3,7,rekey,1856.3403,29.4562,11.2042,18.0611,0.1835,checked
stages,rev3,8,rekey,1943.4761,29.3202,10.8124,18.0038,0.1812,checked
stages,rev3,9,fixed,1915.8093,27.9223,10.5115,17.0672,0.1671,checked
stages,waterfall3,0,rekey,596.7822,45.7461,13.7354,32.5374,0.2077,checked
stages,waterfall3,1,fixed,367.8867,45.0069,13.1282,31.6518,0.1915,checked
stages,waterfall3,2,rekey,379.6544,37.1007,11.4356,25.3727,0.1652,checked
stages,waterfall3,3,fixed,355.7032,35.0993,10.5732,24.1214,0.1597,checked
stages,waterfall3,4,fixed,352.3921,34.9099,10.4650,24.0631,0.1596,checked
stages,waterfall3,5,rekey,352.7389,35.0399,10.6824,24.2509,0.1552,checked
stages,waterfall3,6,fixed,354.3224,35.1241,10.4881,24.3619,0.1564,checked
stages,waterfall3,7,rekey,361.2315,35.5774,10.9254,23.9680,0.1591,checked
stages,waterfall3,8,rekey,349.0576,34.9690,10.6792,23.9576,0.1635,checked
stages,waterfall3,9,fixed,355.4059,35.0859,10.6834,24.1992,0.1661,checked
stages,waterfall4,0,rekey,817.1103,44.0225,13.7863,29.8110,0.1101,checked
stages,waterfall4,1,fixed,515.4087,44.5101,14.2966,30.0910,0.1183,checked
stages,waterfall4,2,rekey,519.1778,44.7578,13.9742,30.0222,0.1120,checked
stages,waterfall4,3,fixed,513.3971,44.5024,13.9244,30.4709,0.1120,checked
stages,waterfall4,4,fixed,513.0686,44.2850,14.0795,30.1142,0.1148,checked
stages,waterfall4,5,rekey,504.7958,44.4981,14.0266,30.0831,0.1193,checked
stages,waterfall4,6,fixed,495.0538,44.9758,14.2177,30.7413,0.1168,checked
stages,waterfall4,7,rekey,513.4808,45.9975,14.0219,31.2833,0.1244,checked
stages,waterfall4,8,rekey,517.9952,45.4000,14.4605,31.1165,0.1169,checked
stages,waterfall4,9,fixed,528.4268,45.0377,14.2544,30.9077,0.1150,checked
